LABEL,T_F,W,A,D,HT,OD,BF,B,ID,TW,TF,T,TNOM,TDES,KDES,KDET,K1,X,Y,E0,XP,YP,BF_2TF,B_T,H_TW,H_T,D_T,IX,ZX,SX,RX,IY,ZY,SY,RY,RZ,J,CW,C,WNO,SW,QF,QW,RO,H,TAN_ALPHA,QS
WT9X96,F,97,28.2,10.2,0,0,11.5,0,0,0.96,1.75,0,0,0,2.15,2.4375,0,0,2.34,0,0,1.23,3.27,0,8.36,0,10.6,202,48.5,25.8,2.68,220,59.4,38.4,2.79,0,22.3,75.7,0,0,0,0,0,4.13,0.875,0,1
WT9X87.5,F,87.5,25.7,10,0,0,11.4,0,0,0.89,1.59,0,0,0,1.99,2.4375,0,0,2.26,0,0,1.13,3.58,0,9.02,0,11.3,181,43.6,23.4,2.66,196,53.1,34.4,2.76,0,16.8,56.5,0,0,0,0,0,4.1,0.872,0,1
WT9X79,F,79,23.2,9.86,0,0,11.3,0,0,0.81,1.44,0,0,0,1.84,2.375,0,0,2.17,0,0,1.02,3.92,0,9.9,0,12.2,160,38.5,20.8,2.63,174,47.4,30.7,2.74,0,12.5,41.2,0,0,0,0,0,4.06,0.872,0,1
WT9X71.5,F,71.5,21,9.75,0,0,11.2,0,0,0.73,1.32,0,0,0,1.72,2.1875,0,0,2.09,0,0,0.937,4.25,0,11,0,13.3,142,34,18.5,2.6,156,42.7,27.7,2.72,0,9.58,30.7,0,0,0,0,0,4.02,0.874,0,1
WT9X65,F,65,19.1,9.63,0,0,11.2,0,0,0.67,1.2,0,0,0,1.6,2.0625,0,0,2.02,0,0,0.856,4.65,0,12,0,14.4,127,30.5,16.7,2.58,139,38.3,24.9,2.7,0,7.23,22.8,0,0,0,0,0,4,0.873,0,1
WT9X59.5,F,59.5,17.5,9.49,0,0,11.3,0,0,0.655,1.06,0,0,0,1.46,1.9375,0,0,2.03,0,0,0.778,5.31,0,12.2,0,14.5,119,28.7,15.9,2.6,126,34.5,22.5,2.69,0,5.3,17.4,0,0,0,0,0,4.03,0.862,0,1
WT9X53,F,53,15.6,9.37,0,0,11.2,0,0,0.59,0.94,0,0,0,1.34,1.8125,0,0,1.97,0,0,0.695,5.96,0,13.6,0,15.9,104,25.2,14.1,2.59,110,30.2,19.7,2.66,0,3.73,12.1,0,0,0,0,0,4,0.86,0,1
WT9X48.5,F,48.5,14.3,9.3,0,0,11.1,0,0,0.535,0.87,0,0,0,1.27,1.75,0,0,1.91,0,0,0.64,6.41,0,15,0,17.4,93.8,22.6,12.7,2.56,100,27.6,18,2.65,0,2.92,9.29,0,0,0,0,0,3.97,0.863,0,1
WT9X43,F,43,12.7,9.2,0,0,11.1,0,0,0.48,0.77,0,0,0,1.17,1.625,0,0,1.86,0,0,0.57,7.2,0,16.7,0,19.2,82.4,19.9,11.2,2.55,87.6,24.2,15.8,2.63,0,2.04,6.42,0,0,0,0,0,3.95,0.861,0,0.939
WT9X38,F,38,11.2,9.11,0,0,11,0,0,0.425,0.68,0,0,0,1.08,1.5625,0,0,1.8,0,0,0.505,8.11,0,18.9,0,21.4,71.8,17.3,9.83,2.54,76.2,21.1,13.8,2.61,0,1.41,4.37,0,0,0,0,0,3.93,0.861,0,0.825
WT9X35.5,F,35.5,10.4,9.24,0,0,7.64,0,0,0.495,0.81,0,0,0,1.21,1.5,0,0,2.26,0,0,0.683,4.71,0,16.2,0,18.7,78.2,20,11.2,2.74,30.1,12.3,7.89,1.7,0,1.74,3.96,0,0,0,0,0,3.72,0.752,0,0.965
WT9X32.5,F,32.5,9.55,9.18,0,0,7.59,0,0,0.45,0.75,0,0,0,1.15,1.4375,0,0,2.2,0,0,0.629,5.06,0,17.8,0,20.4,70.7,18,10.1,2.72,27.4,11.2,7.22,1.69,0,1.36,3.01,0,0,0,0,0,3.69,0.755,0,0.877
WT9X30,F,30,8.82,9.12,0,0,7.56,0,0,0.415,0.695,0,0,0,1.1,1.375,0,0,2.16,0,0,0.583,5.44,0,19.3,0,22,64.7,16.5,9.29,2.71,25,10.3,6.63,1.68,0,1.08,2.35,0,0,0,0,0,3.67,0.756,0,0.797
WT9X27.5,F,27.5,8.1,9.06,0,0,7.53,0,0,0.39,0.63,0,0,0,1.03,1.3125,0,0,2.16,0,0,0.538,5.98,0,20.6,0,23.2,59.5,15.3,8.63,2.71,22.5,9.26,5.97,1.67,0,0.83,1.84,0,0,0,0,0,3.68,0.749,0,0.734
WT9X25,F,25,7.33,9,0,0,7.5,0,0,0.355,0.57,0,0,0,0.972,1.25,0,0,2.12,0,0,0.489,6.57,0,22.6,0,25.3,53.5,13.8,7.79,2.7,20,8.28,5.35,1.65,0,0.619,1.36,0,0,0,0,0,3.66,0.748,0,0.623
WT9X23,F,23,6.77,9.03,0,0,6.06,0,0,0.36,0.605,0,0,0,1.01,1.25,0,0,2.33,0,0,0.558,5.01,0,22.3,0,25.1,52.1,13.9,7.77,2.77,11.3,5.84,3.71,1.29,0,0.609,1.2,0,0,0,0,0,3.67,0.695,0,0.636
WT9X20,F,20,5.88,8.95,0,0,6.02,0,0,0.315,0.525,0,0,0,0.927,1.1875,0,0,2.29,0,0,0.489,5.73,0,25.5,0,28.4,44.8,12,6.73,2.76,9.55,4.97,3.17,1.27,0,0.404,0.788,0,0,0,0,0,3.65,0.693,0,0.495
WT9X17.5,F,17.5,5.15,8.85,0,0,6,0,0,0.3,0.425,0,0,0,0.827,1.125,0,0,2.39,0,0,0.45,7.06,0,26.7,0,29.5,40.1,11.2,6.21,2.79,7.67,4.02,2.56,1.22,0,0.252,0.598,0,0,0,0,0,3.74,0.662,0,0.46
WT9X155.5,F,156,45.8,11.2,0,0,12,0,0,1.52,2.74,0,0,0,3.24,3.4375,0,0,2.93,0,0,1.91,2.19,0,5.21,0,7.34,383,90.6,46.6,2.89,398,104,66.2,2.95,0,87.2,339,0,0,0,0,0,4.41,0.875,0,1
WT9X141.5,F,142,41.6,10.9,0,0,11.9,0,0,1.4,2.5,0,0,0,3,0.1875,0,0,2.8,0,0,1.75,2.38,0,5.66,0,7.8,337,80.2,41.5,2.85,352,92.5,59.2,2.91,0,66.5,251,0,0,0,0,0,4.36,0.873,0,1
WT9X129,F,129,37.9,10.7,0,0,11.8,0,0,1.28,2.3,0,0,0,2.7,3,0,0,2.68,0,0,1.61,2.56,0,6.27,0,8.38,298,71,37,2.8,314,83.1,53.4,2.88,0,51.1,189,0,0,0,0,0,4.3,0.874,0,1
WT9X117,F,117,34.4,10.5,0,0,11.7,0,0,1.16,2.11,0,0,0,2.51,2.75,0,0,2.55,0,0,1.48,2.76,0,6.91,0,9.08,261,62.4,32.7,2.75,279,74.4,47.9,2.85,0,39.1,140,0,0,0,0,0,4.23,0.875,0,1
WT9X105.5,F,106,31.1,10.3,0,0,11.6,0,0,1.06,1.91,0,0,0,2.31,0.5625,0,0,2.44,0,0,1.34,3.02,0,7.57,0,9.75,229,55,29.1,2.72,246,66.1,42.7,2.82,0,29.1,102,0,0,0,0,0,4.19,0.874,0,1
WT8X50,F,50,14.7,8.49,0,0,10.4,0,0,0.585,0.985,0,0,0,1.39,1.875,0,0,1.76,0,0,0.706,5.29,0,11.6,0,14.5,76.8,20.7,11.4,2.28,93.1,27.4,17.9,2.51,0,3.85,10.4,0,0,0,0,0,3.63,0.878,0,1
WT8X44.5,F,44.5,13.1,8.38,0,0,10.4,0,0,0.525,0.875,0,0,0,1.58,1.75,0,0,1.7,0,0,0.631,5.92,0,12.9,0,16,67.2,18.1,10.1,2.27,81.3,24,15.7,2.49,0,2.72,7.19,0,0,0,0,0,3.6,0.877,0,1
WT8X38.5,F,38.5,11.3,8.26,0,0,10.3,0,0,0.455,0.76,0,0,0,1.47,1.625,0,0,1.63,0,0,0.549,6.77,0,14.9,0,18.2,56.9,15.3,8.59,2.24,69.2,20.5,13.4,2.47,0,1.78,4.61,0,0,0,0,0,3.57,0.877,0,0.99
WT8X33.5,F,33.5,9.84,8.17,0,0,10.2,0,0,0.395,0.665,0,0,0,1.37,1.5625,0,0,1.56,0,0,0.481,7.7,0,17.2,0,20.7,48.6,13,7.36,2.22,59.5,17.7,11.6,2.46,0,1.19,3.01,0,0,0,0,0,3.54,0.879,0,0.863
WT8X28.5,F,28.5,8.39,8.22,0,0,7.12,0,0,0.43,0.715,0,0,0,1.12,1.375,0,0,1.94,0,0,0.589,4.98,0,16.5,0,19.1,48.7,13.8,7.77,2.41,21.6,9.42,6.06,1.6,0,1.1,1.99,0,0,0,0,0,3.3,0.77,0,0.942
